query,actual,pred,response,error
Best food for kitten with stomach issues,3,3,"[HEALTH_GUIDELINES]

• Always consult a local veterinarian in Sri Lanka before making any changes to your cat's diet.

[VACCINATION_SCHEDULES]

• The first vaccinations for kittens typically occur at 6-8 weeks of age, followed by boosters at 10-12 weeks and 14-16 weeks.

• Consult with your veterinarian to determine the best vaccination schedule for your kitten based on their health status and lifestyle.

[VET_FAQ]

• What is the recommended diet for a kitten with stomach issues?

• A balanced and nutrient-rich diet can help alleviate symptoms of stomach issues in kittens. However, it's essential to consult with your veterinarian to determine the underlying cause of the issue and develop an appropriate treatment plan.

[PET_NUTRITION]

• What are some safe foods for kittens?

• In Sri Lanka, common home-cooked rice/meat is fine if balanced. However, it's crucial to avoid giving your kitten:

• Onions, garlic, chocolate, lilies

• Lean meats can be a good source of protein and essential amino acids, but make sure they are not cooked in onions or garlic.

[USER QUESTION]

Best food for kitten with stomach issues

Dr. Sara's Response:

• A balanced and nutrient-rich diet is the best way to support your kitten's digestive health.

• Consult with your veterinarian to determine the underlying cause of your kitten's stomach issues and develop an appropriate treatment plan, which may include dietary changes or medication.

• In Sri Lanka, a well-balanced commercial cat food can be a good starting point. However, it's essential to monitor your kitten's weight and adjust their diet as needed to ensure they are getting the nutrients they need.

Always consult with a local veterinarian in Sri Lanka for personalized advice on caring for your kitten.",
Is onions toxic for kitten?,3,3,I'm experiencing high traffic right now. Please try again or contact support.,Ollama Connection Error (High Traffic)
Contact details for Animal SOS,2,2,"[HEALTH_GUIDELINES]

• The main role of the Veterinary Epidemiology Unit (VEU) is to maintain animal health status and provide essential services to support public health.

[VACCINATION_SCHEDULES]

• In Sri Lanka, annual vaccination is mandatory for pets. The DAPH (Department of Animal Health and Production) provides free clinics in various locations, including Anuradhapura.
 
[VET_FAQ]

• What if my pet eats chocolate? Contact a vet urgently; note the amount and time consumed. Induce vomiting only if advised by a veterinarian.

[PET_NUTRITION]

• To prevent rabies in Sri Lanka, it is essential to follow proper vaccination protocols and ensure that pets are up-to-date on their vaccinations.
 
[ANIMAL_SOS]

• The Animal SOS hotline provides assistance with animal-related emergencies. You can contact them at 011-222-3333 or visit their website for more information.

[DISTEMPER]

• Symptoms of distemper in dogs include cough, fever, and neurological issues. A core vaccine protects against this disease.",
Contact details for Animal SOS,2,2,"[HEALTH_GUIDELINES]

• The Animal Welfare Organization (AWO) is the primary animal welfare organization in Sri Lanka, providing assistance and support to animals in need.

[VACCINATION_SCHEDULES]

• In Sri Lanka, the following vaccinations are mandatory for pets:

• Rabies vaccination

• Brucellosis vaccination

[VET_FAQ]

• What is the main role of the Veterinary Epidemiology Unit?

• The Veterinary Epidemiology Unit (VEU) is responsible for maintaining animal health status, conducting surveillance programs, disseminating disease information, and managing vaccine storage and distribution.

[PET_NUTRITION]

• What should I feed my pet to prevent obesity?

• A balanced diet that meets your pet's nutritional needs is essential. Consult with a veterinarian or a qualified animal nutritionist to determine the best food for your pet based on their age, breed, size, and health conditions.",
How do I introduce a new parrot to my home?,2,2,"[HEALTH_GUIDELINES]

• Introducing a new pet, especially a bird like a parrot, requires careful planning and execution to ensure a smooth transition for both the animal and its owner.

• Before bringing your parrot home, make sure you have a suitable enclosure that meets their specific needs, including adequate space, ventilation, and a heat source (if necessary).

• Keep in mind that parrots are social birds and require attention, interaction, and exercise to prevent stress and boredom.

[VACCINATION_SCHEDULES]

• The first vaccinations for your parrot should be administered at 6-8 weeks of age, followed by booster shots every 3 months.

• Consult with a local veterinarian in Sri Lanka to determine the best vaccination schedule for your parrot based on their age, health status, and lifestyle.

[VET_FAQ]

• Q: How often should I feed my parrot?
A: The frequency of feeding depends on the species, size, and activity level of your parrot. A general rule of thumb is to provide a balanced diet 2-3 times a day.

• Q: What are some common health issues in parrots?
A: Common health issues include respiratory problems, feather plucking, and behavioral disorders.

[PET_NUTRITION]

• Parrots require a high-fiber diet rich in fruits, vegetables, and pellets specifically formulated for birds.

• Avoid giving your parrot avocado, onions, or chives as they can be toxic to them.",
Rabies vaccine for parrot,1,1,"[HEALTH_GUIDELINES]

• The rabies vaccine is a crucial part of a pet's vaccination schedule in Sri Lanka.

[VACCINATION_SCHEDULES]

• In Sri Lanka, the core vaccines for dogs are:

• Rabies (mandatory)

• DHPPiL (Distemper, Hepatitis, Parvovirus, Parainfluenza, Leptospirosis)

[PET_NUTRITION]

• The rabies vaccine is an active immunization and should be administered according to the schedule above.

[HEALTH_GUIDELINES]

• Consult a local veterinarian in Sri Lanka for personalized advice on pet vaccinations and health care.",
Bathing frequency for hamster,0,0,"[HEALTH_GUIDELINES]

• The American Animal Hospital Association (AAHA) recommends bathing hamsters 2-3 times a week to maintain their cleanliness and hygiene.

[VACCINATION_SCHEDULES]

• The World Small Animal Veterinary Association (WSAVA) recommends the core vaccines for cats as follows:

• Feline Panleukopenia Virus (FPV)

• Feline Calicivirus (FCV)

• Feline Herpesvirus (FHV)

• Rabies

[PET_NUTRITION]

• Hamsters require a balanced diet that includes a high-quality commercial hamster food, supplemented with fresh vegetables and fruits. A water bottle or dish should be provided at all times.

[HEALTH_GUIDELINES]

• The Centers for Disease Control and Prevention (CDC) recommend the following guidelines for pet owners:

• If your pet has ingested chocolate, contact your veterinarian immediately; note the amount and time of ingestion.

• Induce vomiting only if advised by a veterinarian. Do not attempt to induce vomiting without consulting a vet.

[ANIMAL_HEALTH]

• Distemper in dogs is a serious illness that can be fatal if left untreated. Symptoms include cough, fever, neurological issues, and core vaccine protects the dog against this disease.

[HEALTH_GUIDELINES]

• Rabies is a viral disease that affects mammals, including cats and dogs. Annual vaccination is mandatory for all domestic animals in Sri Lanka to prevent rabies transmission.

[PET_NUTRITION]

• Indoor lifestyle reduces the risk of FeLV/FIV (Feline Leukemia Virus/ Feline Immunodeficiency Virus) and zoonotic diseases in hamsters. Regular checks with a veterinarian are essential to ensure their health and well-being.",
My dog stopped breathing,4,4,"[DISEASE_AND_FIRST_AID]
🚨 **EMERGENCY DETECTED**

I understand this is urgent. Please take these immediate actions:

🫁 **Respiratory Distress**: Check if the airway is clear. Keep your pet upright and avoid stressing them further.

**Next Steps:**
1. **Stay calm** - Your pet needs your focus.
2. **Call an emergency vet NOW** (Colombo: 011-2694533).
3. **Do not wait** - Immediate professional care is vital.
4. **Transport safely** - Keep your pet warm and still.

⚠️ Seek veterinary care immediately.",
Is grapes toxic for kitten?,3,3,"[HEALTH_GUIDELINES]

• Grapes are toxic to kittens due to their high concentration of amygdalin, a compound that releases cyanide when ingested.

[VACCINATION_SCHEDULES]

• Kittens should receive the core vaccines (FPV, FCV, FHV, Rabies) at 6-8 weeks and boosters every 3 years.

[VET_FAQ]

• What is FeLV?
FeLV stands for Feline Leukemia Virus. It's a viral infection that affects cats worldwide, including in Sri Lanka.

[PET_NUTRITION]

• Kittens require a taurine-rich diet to support their growth and development.

• Wet/dry food mixtures can be suitable for kittens, but it's essential to monitor their weight during annual checks to ensure they're not gaining too much or too little.",
My rabbit is bleeding,4,4,"[DISEASE_AND_FIRST_AID]
🚨 **EMERGENCY DETECTED**

I understand this is urgent. Please take these immediate actions:

🩸 **Bleeding**: Apply firm, direct pressure to the wound with a clean cloth. Do not apply a tourniquet unless you know how.

**Next Steps:**
1. **Stay calm** - Your pet needs your focus.
2. **Call an emergency vet NOW** (Colombo: 011-2694533).
3. **Do not wait** - Immediate professional care is vital.
4. **Transport safely** - Keep your pet warm and still.

⚠️ Seek veterinary care immediately.",
Vaccination schedule for rabbit in Kurunegala,1,1,"[HEALTH_GUIDELINES]

• Rabies (annual) is a mandatory core vaccine for all rabbits in Sri Lanka, regardless of age or health status.

[VACCINATION_SCHEDULES]

• Rabbits should receive their first dose of rabies at 6-8 weeks of age.

• Boosters are recommended every 3 years based on the risk assessment, but not required by law.

[PET_NUTRITION]

• A balanced and nutritious diet is essential for maintaining a rabbit's overall health. Consult with a veterinarian to determine the best food options for your pet rabbit in Kurunegala.

[Question: Vaccination schedule for rabbit in Kurunegala]
Answer: Rabies vaccination is mandatory, but boosters are not required by law. The first dose should be given at 6-8 weeks of age, and subsequent boosters every 3 years based on risk assessment.",
Can a cat eat chocolate?,3,3,"[HEALTH_GUIDELINES]

• Always consult a local veterinarian in Sri Lanka for personalized advice on pet health.

[VACCINATION_SCHEDULES]

• The risk of serious illness from eating chocolate is highest in cats under 6 years old.

• If your cat has eaten chocolate, contact your vet urgently and note the amount and time consumed.

[VET_FAQ]

• What should I do if my cat eats chocolate?
Contact your vet immediately; they will advise on the best course of action. Induce vomiting only if advised by a veterinarian.

[PET_NUTRITION]

• Onions, garlic, chocolate, and lilies are toxic to cats.

• Stick to commercial cat food or lean proteins to ensure your cat's nutritional needs are met.

[CHOCOLATE_EATERS]

• What foods are harmful to cats?
Onions, garlic, chocolate, and lilies are the most common culprits.",
Rabies vaccine for parrot,1,1,"[HEALTH_GUIDELINES]

• The rabies vaccine is a crucial component of pet vaccination schedules in Sri Lanka.

[VACCINATION_SCHEDULES]

• In Sri Lanka, the core vaccines for dogs are:

• Rabies (annual)

• DHPPiL (Distemper, Hepatitis, Parvovirus, Parainfluenza, Leptospirosis)

[PET_NUTRITION]

• The rabies vaccine is an active immunization and should be administered according to the schedule above.

[AVMA_SCHEDULE]

• According to the AVMA Schedule, puppies receive their first dose of core vaccines at 6-8 weeks, with boosters every 2-4 weeks until 16 weeks. Adults typically require booster shots 1-3 years after initial vaccination.

[DAPH_NOTES]

• In Sri Lanka, the National Vaccine Distribution for rabies/endemic diseases is managed by the Veterinary Investigation Center in Anuradhapura. Contact them for free rabies shots.

[PREVENTIVE]

• Annual health checks are essential to prevent tick-borne diseases and other zoonotic infections in dogs.

[Question: Rabies vaccine for parrot]
Answer: The core vaccines protecting against CDV, CAV, and CPV are the same as those recommended for dogs worldwide.",
Bathing frequency for parrot,0,0,"[HEALTH_GUIDELINES]

• The American Veterinary Medical Association (AVMA) and the World Small Animal Veterinary Association (WSAVA) recommend bathing parrots 1-2 times a week, depending on their environment and lifestyle.

[VACCINATION_SCHEDULES]

• In Sri Lanka, it is essential to consult with a local veterinarian for specific vaccination schedules tailored to your pet's needs. However, general guidelines suggest that parrots should be vaccinated against diseases such as avian influenza and Newcastle disease at least once a year.

[VET_FAQ]

• What is the ideal bathing frequency for parrots?

• • Parrots require regular bathing to maintain their skin health and prevent bacterial and fungal infections.

• • Over-bathing can strip their feathers of natural oils, leading to dryness and irritation.

• • The frequency of bathing depends on factors such as environment, diet, and individual needs.

[PET_NUTRITION]

• A balanced diet is crucial for maintaining your parrot's overall health. Provide a high-quality commercial parrot food as the main staple, supplemented with fresh fruits and vegetables daily.

[HEALTH_GUIDELINES]

• Regular veterinary check-ups are essential to monitor your parrot's health and detect any potential issues early on.

• • Consult with a local veterinarian in Sri Lanka for personalized advice on bathing frequency and nutrition tailored to your pet's specific needs.",
When to vaccinate puppy?,1,1,"[HEALTH_GUIDELINES]

• The core vaccines for dogs in Sri Lanka are Rabies, DHPPiL (Distemper, Hepatitis, Parvovirus, Parainfluenza, Leptospirosis), and Bordetella (kennel cough).

• These core vaccines should be administered to puppies at 6-8 weeks of age.

[VACCINATION_SCHEDULES]

• The vaccination schedule for puppies in Sri Lanka is as follows:

• Rabies: series starting at 12 weeks

• DHPPiL: series starting at 16 weeks

[VET_FAQ]

• Q: What are the core vaccines recommended for dogs?
A: Core vaccines include canine parvovirus (CPV), canine distemper virus (CDV), canine adenovirus type 2 (CAV-2), and rabies.

[PET_NUTRITION]

• It's essential to note that a balanced diet is crucial for your puppy's overall health, including their immune system. Consult with a local veterinarian in Sri Lanka or a qualified pet nutritionist for personalized advice on feeding your puppy.",
cat ate rat poison,4,4,"[DISEASE_AND_FIRST_AID]
🚨 **EMERGENCY DETECTED**

I understand this is urgent. Please take these immediate actions:

🧪 **Poisoning**: If your pet ingested something toxic, do not induce vomiting unless specifically told by a vet. Bring the packaging with you.

**Next Steps:**
1. **Stay calm** - Your pet needs your focus.
2. **Call an emergency vet NOW** (Colombo: 011-2694533).
3. **Do not wait** - Immediate professional care is vital.
4. **Transport safely** - Keep your pet warm and still.

⚠️ Seek veterinary care immediately.",
